px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
186.999	36.9574	2.58196	0.0635799	-0.17733	187.296	36.9375	187.103	36.804	2.29017	0.365145	1.12913
189.451	37.398	2.81627	0.236866	0.0448154	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.373312
189.478	37.4072	2.47607	0.273347	0.0806472	189.738	36.951	189.401	37.1147	2.20928	0.245623	0.740258
191.727	37.5685	2.5901	-0.0222116	-0.156247	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.235075
191.698	37.5579	2.36858	-0.0531699	-0.203618	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.283554
193.478	37.2778	2.22825	-0.221873	-0.182866	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	0.0502197
193.499	37.2824	2.26843	-0.211105	-0.169219	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.0982933
195.946	37.3917	2.84631	0.247909	0.228819	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	1.72286
195.827	37.3979	2.22621	0.297283	0.298671	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	3.22985
197.719	37.7354	2.27656	0.203687	0.054168	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.205521
197.672	37.7251	2.05534	0.196241	0.0497779	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.527349
199.298	37.302	1.89742	-0.382206	-0.338838	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	0.578225
199.312	37.3074	1.95786	-0.363512	-0.311194	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.05072
201.497	36.9945	2.60216	0.0150977	0.131417	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	2.09132
201.353	36.9951	2.02589	-0.0870965	-0.0269274	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	3.88603
202.963	36.462	2.05063	-0.34874	-0.170267	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.070207
202.918	36.4449	1.80067	-0.446733	-0.320398	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.556133
204.008	36.1759	1.20277	-0.328556	-0.0612214	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	0.725444
204.018	36.1583	1.48364	-0.24757	0.0992993	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	1.26229
